Topic	Start Verse ID	End Verse ID	Votes	#Generated 2025-02-17. Verse ID = bbcccvvv (01 = Gen, 66 = Rev). CC-BY License: www.openbible.info/topics
10 commandments	02020001	02020026	296
10 commandments	48005014		143
10 commandments	45013008	45013010	116
10 commandments	05004013		101
10 commandments	02034028		94
10 commandments	02020013		91
10 commandments	02020014		73
10 commandments	42006027	42006033	72
10 commandments	02020003		64
10 commandments	02020007		64
10 commandments	02020012		58
10 commandments	45005008		50
10 commandments	43014015		46
10 commandments	45013009		43
10 commandments	65001007		42
10 commandments	02020015		42
10 commandments	05004002		40
10 commandments	45007007		38
10 commandments	02024012		38
10 commandments	40019019		37
10 commandments	02020008	02020011	37
10 commandments	02020003	02020017	34
10 commandments	05005006	05005021	34
10 commandments	03022031		32
10 commandments	02020001		32
10 commandments	43015007		32
10 commandments	02020004	02020006	31
10 commandments	43014006		29
10 commandments	40005027	40005028	29
10 commandments	40005017		28
10 commandments	47005017		27
10 commandments	02020001	02020017	27
10 commandments	05010004		27
10 commandments	43015010		26
10 commandments	02020008		25
10 commandments	05005001	05005033	24
10 commandments	40005021	40005022	24
10 commandments	02020017		23
10 commandments	05006005		23
10 commandments	45007012		23
10 commandments	40019017		22
10 commandments	02020002		22
10 commandments	45006023		21
10 commandments	05004040		21
10 commandments	05005016		21
10 commandments	49002008	49002009	20
10 commandments	42018020		20
10 commandments	40019018		20
10 commandments	62003004		20
10 commandments	66021008		19
10 commandments	05005017		19
10 commandments	02020002	02020017	19
10 commandments	05005021		19
10 commandments	60003015		19
10 commandments	40022037		19
10 commandments	02020006		19
10 commandments	02020016		19
10 commandments	59001025		19
10 commandments	42013003		19
10 commandments	05005018		18
10 commandments	40022037	40022040	18
10 commandments	05010001	05010005	17
10 commandments	45003020		17
10 commandments	02031018		17
10 commandments	05005022		17
10 commandments	40005018		15
10 commandments	05010012	05010013	15
10 commandments	05005011		15
10 commandments	40022039		15
10 commandments	05005015		15
10 commandments	03019018		15
10 commandments	40005017	40005022	15
10 commandments	40022036	40022038	14
10 commandments	19147019		14
10 commandments	58004009		14
10 commandments	41010019		14
10 commandments	40007012		14
10 commandments	51003005		14
